"Name","Line","Zones","NoteLength","Reasons","Preview"
"Elivira Gogol","2537","""Bastok (S)"", ""Bastok Markets (S)""","328","long","Notes: * Gold Musketeer Captain of the Department of Mining during the Crystal War. *Shares her unique face-type with Mythril Musketeer Captain Klara. ""The Metalworks' strategies are too timid for my taste. The beastmen ..."
"Scorpion Caster","3410","""Battle"", ""Various Campaign Fortifications"", ""Windurst (S)""","328","long","Notes: * Leader of the Scorpion Casters is Gariri. *Squadron appears in various locations either fortifying or in Campaign Battles. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (..."
"Royal Banneret","3403","""Battle"", ""Belfry"", ""San d'Oria (S)""","325","long","Notes: * Spawned by an Allied Belfry erected by the Royal Army of San d'Oria. Participates in offensive Campaign Battles. A maximum of 5 reinforcements will appear, and they will continually respawn unless the belfry is ..."
"Rusted Musket","2583","""Bastok (S)"", ""Bastok Markets (S)""","325","long","Notes: ""At the battle of Vunkerl Inlet, the Republican Legion's Third Division encountered a gigas raiding party approaching by sea. The fiends eventually made landfall, but their advance was stopped cold by the brillian..."
"Joker","4518","""House of the Hero"", ""Windurst""","324","long","Involved in Quests: * Crying Over Onions * I Can Hear a Rainbow * Onion Rings * Wild Card * The Promise * The Moonlit Path (First defeat after reaching Rank 10.) Involved in Missions: * Windurst Mission 8-2: The Jester W..."
"Rahal","412","""Chateau d'Oraguille"", ""San d'Oria""","324","long; instruction wording","Starts Quests: * Knight Stalker Involved in Quests: * Lure of the Wildcat (San d'Oria) * The Holy Crest Involved in Missions: * San d'Oria Mission 8-2: Lightbringer * San d'Oria Mission 9-2: The Heir to the Light * Aht U..."
"Stockade","3415","""Battle"", ""Yorcia Weald (U)""","323","long; instruction wording","Notes: * Spawns to protect the Cantonment in Yorcia Weald (U) Skirmishes. *Enemies attack the stockade before moving on to the Cantonment. *To spawn a stockade, players must select Defensive Measures from the Noetic Acen..."
"Narkissa, C.A.","2570","""Bastok Markets (S)"", ""Jeuno (S)""","322","long","Notes: * Jeuno affliated Campaign Arbiter. *Offers Campaign Information, Campaign Allied Tags, Teleportation *Campaign Sword in front of name during Campaign *She cannot teleport you to Beastman Strongholds (Castle Oztro..."
"Verena","3962","""Cut scenes only"", ""Cutscene"", ""Jeuno""","321","long","Involved in Quests: * Shadows of the Departed Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite * Zilart Mission 8: Return to Delkfutt's Tower * Zila..."
"Rongelouts N Distaud (S)","2659","""Battle"", ""San d'Oria (S)"", ""Southern San d'Oria (S)""","320","long","Involved in Quests: * Steamed Rams * Gifts of the Griffon * Perils of the Griffon * In a Haze of Glory * The Price of Valor * Bonds That Never Die * Chasing Shadows Involved in Missions: * WOTG02: Back to the Beginning *..."
"Bluffnix","1307","""Jeuno"", ""Lower Jeuno""","319","long","Starts Quests: * The Gobbiebag Part I * The Gobbiebag Part II * The Gobbiebag Part III * The Gobbiebag Part IV * The Gobbiebag Part V * The Gobbiebag Part VI * The Gobbiebag Part VII * The Gobbiebag Part VIII * The Gobbi..."
"Ingrid","3090","""Adoulin"", ""Cutscene"", ""Eastern Adoulin (Residence)""","318","long","Involved in Quests: * No Mercy for the Wicked Involved in Missions: * Return of the Exorcist * The Merciless One * The Purgation * Adoulin Calling * Shared Consciousness * Beauty and the Beast * Wildcat with a Gold Pelt ..."
"Kasper","2554","""Bastok (S)"", ""Bastok Markets (S)""","315","long","Notes: ""When the beasthordes sieged San d'Oria, President Prien wasted no time in putting the entire republic on a wartime footing. In retrospect, it was certainly the right thing to do. If not for his unwavering leaders..."
"Cait Sith Ceithir","5553","""Walk of Echoes""","313","long","Involved in Missions: * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * WOTG15: Crossroads of Time * WOTG18: Traitor in the Midst * WOTG19: Betrayal at Beaucedine * WOTG22: A Sanguinary Prelude * WOTG23..."
"Poseaulloie","5182","""Patrols set route in Northern San d'Oria"", ""San d'Oria""","312","long","Notes: * One of The Dark Lilies of the Harvest Festival event held each October since 2004. Follow Poseaulloie without being seen to receive, from the Exorcist, a Witch Hat or Coven Hat. *Thought to be the Dark Kindred's..."
"Acacia","3321","""Batallia Downs""","311","long","Notes: The Smilebringer Boot Camp will continue even after the conclusion of the Starlight Celebration, albeit with some changes in appearance and content. Smile sergeants will sport new attire, collect a participation f..."
"Karst","241","""Metalworks""","310","long","Involved in Quests: * Waking the Colossus Involved in Missions: * Bastok Mission 2-3: The Emissary * Bastok Mission 5-1: Darkness Rising * Bastok Mission 5-2: Xarcabard, Land of Truths * Bastok Mission 7-2: On My Way * B..."
"Loutille","4345","""Garlaige Citadel (S)"", ""San d'Oria (S)""","309","long; instruction wording","Notes: :""Have you heard tell of the Gigas invasion of Vunkerl Inlet? :Stories tell of their monstrous strength, effortlessly tossing about boulders even larger than themselves. :...That reminds me, I haven't acquried a m..."
"Karaha-Baruha","4022","""Cutscene only"", ""Windurst (S)""","308","long","Involved in Quests: * The Forbidden Path * Howl from the Heavens * At Journey's End Involved in Missions: * San d'Oria Mission 4-1: Magicite * Bastok Mission 4-1: Magicite * Windurst Mission 4-1: Magicite * Windurst Miss..."
"Quartermaster (Windurst)","5724","""Windurst"", ""Windurst Waters (S)(North)""","308","long","Involved in Missions: * Stock and Awe I (Windurst) * Stock and Awe II (Windurst) * Stock and Awe III (Windurst) * Stock and Awe IV (Windurst) * Materiel Storm I (Windurst) * Materiel Storm II (Windurst) * Materiel Storm ..."
"Xenia, C.A.","4434","""Grauberg (S)"", ""Jeuno (S)""","307","long","Notes: * Jeuno affiliated Campaign Arbiter. Present when Beastmen have control of Grauberg (S). *Location: I-9, South of battle area, on platform with cannon (same platform where you tele in) *Offers Campaign Information..."
"Penqaqa","3913","""Crawlers' Nest (S)"", ""Windurst (S)""","306","long","Notes: ""As you can probably tell by all the barrels and spigots-wigots, this placed used to be fitted outaru as a brewery.The Federation Forces have taken it over for military purposes.Yes. Military Purposes.The enormous..."
"Bearer of Darkness","3945","""Cut Scenes Only"", ""Windurst""","305","long","Involved in Quests: * Sin Hunting * Wings of the Goddess Windurst Missionquest 9: The Forbidden Path Involved in Missions: * Magicite (Bastok) * Magicite (San d'Oria) * Magicite (Windurst) * Windurst Mission 8-1 Vain * W..."
"Isabella","2551","""Bastok (S)"", ""Bastok Markets (S)""","303","long","Notes: * Supply Commander of the Fourth Division's Seventh Cohors. *Allows Bastok affiliated players to vote on future campaign tactics. ""600 loaves of iron bread...check. 15,000 copper bullets...check. Ah-- I am sorry, ..."
"Seno Zarhin","1167","""Windurst"", ""Windurst Woods""","303","long","Notes: Dialog: Whenever you look around Windurst Woods you see Mithra, rrright? But just until a few decades ago, this whole arrrea was full of Tarutaru. That was until the warrr years when the Mithra chieftainess, Perih..."
"Rokor-Makor","1162","""Special Event"", ""Windurst Woods""","300","long; instruction wording","Notes: * Durning Sunbreeze, allows you play a chocobo catch game. You must have earned the HQ gear from the main event to participate in hard mode (for chance to earn a Green Prize Balloon). *During Starlight, allows you..."
"Benjamin","2524","""Bastok (S)"", ""Bastok Markets (S)""","296","long","Notes: ""The Allied Forces of Altana have been formed collectively by Jeuno and the three nations to combat the Beastmen Confederate. We've no business in an alliance with Windurst, if you ask me. Those Windurstians are n..."
"Fantarviont","472","""Northern San d'Oria"", ""San d'Oria""","295","long","Notes: ""In the war twenty years ago, San d'Orian knights crushed the Shadow Lord and his hordes. We sealed off the Northlands from whence he came. ""Eh? Windurst and Bastok? They could barely protect their gates! If it we..."
"Makel-Pakel","2489","""Adoulin"", ""Celennia Memorial Library""","295","long; instruction wording","Notes: Allows you to trade 3 unwanted Level 99 J.S.E. Capes for any single Level 99 J.S.E. Cape of your choice. He does NOT accept augmented capes from Incursion, but if you trade him your augmented capes one at a time, ..."
"Imperial Trooper","2153","""Al Zahbi"", ""Battle"", ""Besieged""","294","long","Notes: * Casts Protect IV and Shell III on himself, and Cure III and Cure IV on his NPC allies if they are low on HP. *Casts Holy and Flash on enemies. *The exact Imperial Defense value needed for these soldiers to show ..."
"Perih Vashai","1151","""Windurst"", ""Windurst Woods""","294","long","Starts Quests: * The Fanged One Ability to become Ranger * Sin Hunting AF weapon * Fire and Brimstone Hunter's beret * Unbridled Passion Hunter's socks * From Saplings Grow Archery Weapon skill Involved in Missions: * Pr..."
"Lehko Habhoka","3392","""Battle"", ""Cutscene"", ""Windurst (S)"", ""Windurst Waters (S) (Cutscenes Only)""","293","long","Involved in Quests: * Knot Quite There * A Manifest Problem * When One Man Is Not Enough * A Feast for Gnats * The Long March North * The Forbidden Path * Sins of the Mothers * Howl from the Heavens * Manifest Destiny * ..."
"Robel-Akbel","5784","""Windurst (S)"", ""Windurst Waters [S]""","293","long","Starts Quests: * A Feast for Gnats * The Long March North * Howl from the Heavens Involved in Quests: * The Tigress Strikes * Knot Quite There * A Manifest Problem * The Forbidden Path * At Journey's End Involved in Miss..."
"Magdalena","2562","""Bastok (S)"", ""Bastok Markets (S)""","292","long","Notes: ""I'll admit, I wasn't sure how things would turn out when Selbina suddenly declared its independence. Senator Werner dispatched the Republican Legion and took control of the situation with such incredible speed. E..."
"Skipper Moogle","637","""Port San d'Oria""","292","long; wiki markup","Notes: * Explains Mog Gardens and the requirements to access them. *Sells books (in the form of permanent key items) that increase the ranks of specific Mog Garden features. **The same books can be purchased from Zenicca..."
"Wren, C.A.","4304","""Fort Karugo-Narugo (S)"", ""Jeuno (S)""","291","long","Notes: * NE of Teleport location behind a brick wall, not the Fivespires Map. *Jeuno affiliated Campaign Arbiter. Present when Beastmen have control of Fort Karugo-Narugo (S). *Offers Campaign Information, Campaign Allie..."
"Quartermaster (Bastok)","2577","""Bastok Markets (S)""","290","long","Involved in Missions: * Stock and Awe I (Bastok) * Stock and Awe II (Bastok) * Stock and Awe III (Bastok) * Stock and Awe IV (Bastok) * Materiel Storm I (Bastok) * Materiel Storm II (Bastok) * Materiel Storm III (Bastok)..."
"Asrahd","1958","""Aht Urhgan Whitegate"", ""Al Zahbi""","289","long; wiki markup","Notes: :*Casts Sanction on registered mercenaries (w/ Sanction Enhancements) :*Recharges Chariot Band, Emperor Band, or Empress Band. :*Sells items for Imperial Standing at appropriate rank. :*Explains Sanction, Imperial..."
"Falzuuk","2128","""Al Zahbi""","289","long; wiki markup","Notes: :*Casts Sanction on registered mercenaries (w/ Sanction Enhancements) :*Recharges Chariot Band, Emperor Band, or Empress Band. :*Sells items for Imperial Standing at appropriate rank. :*Explains Sanction, Imperial..."
"Famatar","2129","""Al Zahbi""","289","long; wiki markup","Notes: :*Casts Sanction on registered mercenaries (w/ Sanction Enhancements) :*Recharges Chariot Band, Emperor Band, or Empress Band. :*Sells items for Imperial Standing at appropriate rank. :*Explains Sanction, Imperial..."
"Nabihwah","2263","""Nashmau""","289","long; wiki markup","Notes: :*Casts Sanction on registered mercenaries (w/ Sanction Enhancements) :*Recharges Chariot Band, Emperor Band, or Empress Band. :*Sells items for Imperial Standing at appropriate rank. :*Explains Sanction, Imperial..."
"Odin (NPC)","4472","""Hazhalm Testing Grounds""","288","long","Involved in Quests: * The Rider Cometh * Unwavering Resolve * A Stygian Pact Involved in Missions: * Aht Urhgan Mission 32: In the Blood * Aht Urhgan Mission 36: Gaze of the Saboteur * Aht Urhgan Mission 37: Path of Bloo..."
"Palardaifault V Draffles","2649","""San d'Oria"", ""Southern San d'Oria (S)""","288","long","Notes: Army Curate for San d'Oria records opinions of adventurers on matters regarding internal policies, battle strategies and the army's generals. The opinions are tallied weekly and influence the available Campaign Op..."
"Civil Registrar","2315","""Western Adoulin""","287","long; instruction wording","Notes: Provides players with details for a specific coalition: *The coalition's role. *The state of the coalition. *Types of coalition assignments. *Current expansion plans. *The coalition's referendum support. *A player..."
"Mayakov","4728","""Lion Springs Tavern"", ""San d'Oria (S)""","287","long","Involved in Missions: * WOTG04: The Queen of the Dance * WOTG05: While the Cat is Away * WOTG06: A Timeswept Butterfly * WOTG07: Purple, The New Black * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * W..."
"Michaela","3831","""Chocobo Circuit""","286","long; instruction wording","Notes: * A representative of the CRA, Michaela issues the stands for display of trophies. *The stands available are the CS Bronze Stand, the CS Gold Stand and the CS Mythril Stand. *Michaela will also engrave the stand i..."
"Paito-Maito","1871","""Norg""","285","long","Notes: ""I'm the gaudy-bodyguard of this place. You make one wrong move and I will smack and kick and punch and whack and pummel and smash and crash and grind your bones into powder...and then kick you some more. You foll..."
"Afdeen","1392","""Jeuno"", ""Upper Jeuno""","284","long","Notes: A student of the great mage Abdhaljs, he handles transport to and the use of Abdhaljs Isle-Purgonorgo (where Brenner is played). He (as well as the Marshal behind him) will handle all Brenner-related affairs, incl..."
"Chatnachoq","1313","""Jeuno"", ""Lower Jeuno""","283","long; instruction wording","Notes: * Item exchange NPC for the Moblin Maze Mongers and Goldagrik's secretary. Players trade Moblin Marbles obtained through player mazes for additional Maze Tabulas, Maze Vouchers, Maze Runes, and even equipment. *Un..."
"Ayame (A)","2789","""Abyssea"", ""Abyssea - Konschtat""","282","long","Starts Quests: * Hope Blooms on the Battlefield * Rose on the Heath * Reports your progress towards finishing Abyssea - Konschtat's objectives. * =Goals completed= * Completing all quests: 8,000 Cruor. * Obtaining all Ab..."
"Burrow Investigator","1402","""Upper Jeuno""","281","long; instruction wording","Notes: Starting NPC of the Meeble Burrows Excavations. Will award you a Diligence Grimoire and 10 Moblin pheromone sacks. Teleportation Service: : Can teleport you to the Meeble Burrow Excavation site, located in Sauromu..."
"Curilla","402","""Chateau d'Oraguille"", ""San d'Oria""","281","long","Starts Quests: * The General's Secret * Enveloped in Darkness * Peace for the Spirit * Old Wounds Involved in Quests: * Lure of the Wildcat (San d'Oria) * Trust: San d'Oria Involved in Missions: * Aht Urhgan Mission 5: C..."
"Klara","3274","""Bastok (S)"", ""Bastok Markets (S) (Cutscene only)"", ""Cutscene""","280","long","Starts Quests: * Quelling the Storm Involved in Quests: * Fires of Discontent * Light in the Darkness * Burden of Suspicion * Storm on the Horizon * Fire in the Hole * Honor Under Fire * Beneath the Mask * What Price Loy..."
"Matthias","81","""Bastok Markets""","280","long; instruction wording","Notes: Matthias crafts the following pieces of Dancer Artifact Armor when given the appropriate items: *Dancer's Bangles *Dancer's Tiara *Dancer's Shoes Note: You will need to speak with Olgald in Upper Jeuno (G-7) befor..."
"Miliart, T.K.","2643","""San d'Oria (S)"", ""Southern San d'Oria (S)""","279","medium-long; wiki markup","Notes: :*Casts Sigil :*Sells items for Allied Notes (San d'Oria Campaign Items) at certain conditions. :*Explains the Campaign system by choosing some available questions. :*Tells you the remaining time on your current S..."
"Panta-Putta (A)","2932","""Abyssea"", ""Abyssea - Misareaux Wanders around the whole zone. *Found up at VC#05. *Found down by VC#08. *Found by VC #00""","279","medium-long","Notes: * The child of Teigero-Bangero (A) in Abyssea - Vunkerl. *Has multiple sayings it will yell that will show in player's chatlogs. :""And mommy...where's my M-mommy-wommy...?"" :""... Wh-where's my daddy...?"" :""I said,..."
"Anastase","1470","""Adoulin"", ""Ru'Lude Gardens""","277","medium-long","Starts Quests: * Researchers from the West * Middle Lands Investigation * Further Founts * Beam Me Up... No, Not There! Involved in Quests: * Researchers from the West * Middle Lands Investigation * Further Founts * Beam..."
"Mindala-Andola, C.C.","5779","""Windurst (S)"", ""Windurst Waters (S) map = North|G-5""","277","medium-long; wiki markup","Notes: :*Casts Sigil :*Sells items for Allied Notes (Windurst Campaign Items) at certain conditions. :*Explains the Campaign system by choosing some available questions. :*Tells you the remaining time on your current Sig..."
"Runito-Monito","1648","""Mhaura""","277","medium-long","Notes: Sells: *Cat Baghnakhs 106 - 225 *Brass Baghnakhs 1,554 *Brass Dagger 855 - 967 *Bronze Rod 92 - 104 *Brass Rod 634 - 717 *Brass Xiphos 3,601 - 4,071 *Claymore 2,502 - 2,828 *Butterfly Axe 618 - 698 *Dart 9 - 10 *W..."
"Honoi-Gomoi","5655","""Windurst"", ""Windurst Waters, South""","275","medium-long","Starts Quests: * Wild Card Involved in Quests: * Crying Over Onions * Hat in Hand * Starlight Celebration 2008 * Starlight Celebration 2010 Involved in Missions: * The Road Forks: The Road Forks * Promathia Mission 5-3: ..."
"Louverance","4041","""Cutscenes"", ""San d'Oria""","275","medium-long","Involved in Quests: * Over the Hills and Far Away * Signed in Blood * Tea with a Tonberry? Involved in Missions: * The Road Forks: The Road Forks * Where Messengers Gather (Ulmia's Path) * Promathia Mission 7-4: Calm Bef..."
"Millard, I.M.","2568","""Bastok (S)"", ""Bastok Markets (S)""","275","medium-long; wiki markup","Notes: :*Casts Sigil :*Sells items for Allied Notes (Bastok Campaign Items) at certain conditions. :*Explains the Campaign system by choosing some available questions. :*Tells you the remaining time on your current Sigil..."
"Aquila","3982","""Cutscene""","274","medium-long","Involved in Missions: * WOTG07: Purple, The New Black * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * WOTG15: Crossroads of Time * WOTG19: Betrayal at Beaucedine * WOTG25: The Will of the World * WOTG..."
"Haudrale","3991","""Cutscene""","274","medium-long","Involved in Missions: * WOTG07: Purple, The New Black * WOTG08: In the Name of the Father * WOTG09: Dancers in Distress * WOTG15: Crossroads of Time * WOTG19: Betrayal at Beaucedine * WOTG25: The Will of the World * WOTG..."
"Shikaree Y","5092","""Outland"", ""Various Cutscenes, Boneyard Gully""","274","medium-long","Involved in Quests: * Tuning In * Tuning Out * Tango with a Tracker * Requiem of Sin Involved in Missions: * Promathia Mission 5-3: Three Paths * Where Messengers Gather (Ulmia's Path) * Promathia Mission 7-4: Calm Befor..."
"Kerutoto","5667","""Windurst"", ""Windurst Waters map = South|J-8""","273","medium-long","Starts Quests: * Food for Thought * Blue Ribbon Blues * Waking Dreams Involved in Quests: * Riding on the Clouds Involved in Missions: * Windurst Mission 7-2: Awakening of the Gods * Promathia Mission 5-3: Three Paths * ..."
"Michea","82","""Bastok Markets""","273","medium-long","Starts Quests: * The Elvaan Goldsmith Involved in Quests: * Father Figure * Distant Loyalties * The First Meeting Involved in Missions: * Bastok Mission 1-3: Fetichism * Bastok Mission 9-2: Where Two Paths Converge * The..."
"Raustigne","2654","""San d'Oria (S)"", ""Southern San d'Oria (S)""","272","medium-long","Involved in Quests: * Boy and the Beast * The Long March North Starts Missions: * WOTG09: Dancers in Distress * WOTG12: Affairs of State Involved in Missions: * WOTG11: A Spoonful of Sugar * WOTG20: On Thin Ice * WOTG21:..."
"Wachiwi","1593","""Selbina""","272","medium-long; wiki markup","Notes: Checks weather for the following locations: :*Pashhow Marshlands :*Ronfaure (East and West) :*La Theine Plateau :*Valkurm Dunes :*Jugner Forest :*Batallia Downs :*Gustaberg (North and South) :*Konschtat Highlands ..."
"1st Legionnaire","3243","""Bastok (S)"", ""Battle"", ""Grauberg (S)""","271","medium-long","Notes: * Appears during Campaign Battles in North Gustaberg and Grauberg, following Maximilian. Uses Marksmanship weaponskills. *They are among the few that may be dispatched to Beaucedine Glacier (S) and Xarcabard (S) o..."
"Emporox","5223","""Reisenjima""","271","medium-long; instruction wording","Notes: She exchanges merits (up to 75 at a time) for an equal number of Potpourri currency. It costs 100 merits for her to open the shop to you. Sells various items for Potpourri. Items available depend upon which items ..."
"Zhon Kihshimo","1660","""Mhaura""","271","medium-long; instruction wording","Notes: Dialogue: Welcome to the Sailorrr's Stay! If you need armor or shields, we got those too! Just talk to Graine here, and she'll show you our wares! And if you need weapons, go see Runito-Monito upstairrrs! He's got..."
"Zovriace","5344","""San d'Oria"", ""West Ronfaure - Travels a route from La Theine Plateau""","270","medium-long","Notes: When Spoken to says ""Let me be! I return to Southgate with word on La Theine."" When he gets back to the south gate he says to Colmaie ( A guard at Southgate) ""Scout reporting! All is quiet on the roads to La Thein..."
"Oggbi","346","""Port Bastok""","269","medium-long","Starts Quests: * Ghosts of the Past * The First Meeting * The Walls of Your Mind Involved in Missions: * The Voracious Resurgence 1-2: The Brygid Cup * The Voracious Resurgence 7-2: Uran-Mafran of the Maelstrom * The Vor..."
"Helmfried","2546","""Bastok (S)"", ""Bastok Markets (S)""","268","medium-long","Notes: ""Before the onset of war, President Prien ralled the strong support of the Galkan citizenry. That was the key to his winning the election. But it seems his campaign promises of improving living standards have been..."
"Pieuje","4080","""Cutscenes, Chateau d'Oraguille"", ""San d'Oria""","268","medium-long","Starts Quests: * Pieuje's Decision * Prelude of Black and White Involved in Missions: * San d'Oria Mission 5-2: The Shadow Lord * San d'Oria Mission 9-2: The Heir to the Light * Aht Urhgan Mission 5: Confessions of Royal..."
"Laurentia","2558","""Bastok (S)"", ""Bastok Markets (S)""","267","medium-long","Notes: ""There's a mining spot in Grauberg where you can dig up some very good quality crystals. Apparently the Quadav Shieldwarriors will stop at nothing to gain control of mining resources. That's the reason for the con..."
"Rukususu","4241","""Fei'Yin"", ""Windurst""","267","medium-long","Involved in Quests: * Curses, Foiled A-Golem!? * SMN AF2: Class Reunion * SMN AF3: Carbuncle Debacle Involved in Missions: * Windurst Mission 5-1: The Final Seal * Windurst Mission 7-2: Awakening of the Gods * Windurst M..."
"Shikaree X","5091","""Outland"", ""Various Cutscenes, Boneyard Gully""","267","medium-long","Involved in Quests: * Tango with a Tracker * Requiem of Sin * X Marks the Spot Involved in Missions: * Promathia Mission 5-3: Three Paths * Where Messengers Gather (Ulmia's Path) * Promathia Mission 7-4: Calm Before the ..."
"Christoph","2530","""Bastok (S)"", ""Bastok Markets (S)""","266","medium-long","Notes: ""Senator Werner is adamant about having a technologically advanced military. He even goes so far as to visit the Metalworks from time to time. It seems Chief Engineer Cid is extremely busy after taking up the addi..."
"Gwinar","325","""Port Bastok""","266","medium-long","Notes: Marks one's town map with the locations of various NPCs important to adventures: *Home Points *Item Depository *Melody Minstrels *Weather Reporters *Traveling Bards *Reputation *Immigration *Armor Depository *Tele..."
"Rumoie","757","""San d'Oria"", ""Southern San d'Oria""","266","medium-long","Notes: Marks one's town map with the locations of various NPCs important to adventures: *Home Points *Item Depository *Melody Minstrels *Weather Reporters *Traveling Bards *Reputation *Immigration *Armor Depository *Tele..."
"Mhoti Pyiahrs","2700","""Windurst (S)"", ""Windurst Waters (S)""","265","medium-long","Notes: Will allow those who originally aligned to Windurst's campaign and later switched to other nations' campaign to return to Windurst for a price of 300 AN and the two highest campaign medals. Recompleting Snake on t..."
"Nuria","1509","""Jeuno"", ""Ru'Lude Gardens""","265","medium-long","Notes: Marks one's town map with the locations of various NPCs important to adventures: *Home Points *Item Depository *Melody Mistrels *Weather Reporters *Traveling Bards *Reputation *Immigration *Armor Depository *Telep..."
"Travialce","5338","""San d'Oria""","265","medium-long","Involved in Quests: * Divine Interference Starts Missions: * Aht Urhgan Mission 38: Stirrings of War Involved in Missions: * Aht Urhgan Mission 5: Confessions of Royalty * Aht Urhgan Mission 20: Teahouse Tumult * Aht Urh..."
"Fenrir (NPC)","4324","""Full Moon Fountain"", ""Windurst""","262","medium-long","Involved in Quests: * The Moonlit Path * Mama Mia * Howl from the Heavens Involved in Missions: * Windurst Mission 9-1: Doll of the Dead * Windurst Mission 9-2: Moon Reading * Promathia Mission 5-3: Three Paths * The Pur..."
"Houilloumie","2630","""San d'Oria (S)"", ""Southern San d'Oria (S)""","262","medium-long","Notes: Will allow those who originally aligned to San d'Oria's campaign and later switched to other nations' campaign to return to San d'Oria for a price of 300 AN and the two highest campaign medals. Recompleting Steame..."
"Flame Giant","5515","""Various"", ""Windurst (S)""","261","medium-long; wiki markup","Notes: * Appears during Campaign Battles as the avatar pet of Gariri. *Uses all of Ifrit's bloodpacts, favoring Meteor Strike. *Unlike normal avatars, it can be enhanced and healed like NPCs. *All of his melee attacks ha..."
"Fridolin","2542","""Bastok (S)"", ""Bastok Markets (S)""","261","medium-long","Notes: Will allow those who originally aligned to Bastok's campaign and later switched to other nations' campaign to return to Bastok for a price of 300 AN and the two highest campaign medals. Recompleting The Fighting F..."
"Shahayl","2202","""Al Zahbi"", ""Alzadaal Undersea Ruins""","260","medium-long; instruction wording","Notes: * Speak with him to receive an Assault Armband for Nyzul Isle Investigation. *He does not accept the Supplies Package for Aht Urhgan Mission 2: Immortal Sentries; you must use one of the other five staging points...."
"Zeid (S)","3296","""Bastok (S)"", ""Cut Scenes Only"", ""Cutscene""","260","medium-long","Involved in Quests: * Fires of Discontent * Light in the Darkness * Burden of Suspicion * Storm on the Horizon * Fire in the Hole * Quelling the Storm * Honor Under Fire * Beneath the Mask * What Price Loyalty * The Trut..."
"Drangord (S)","2533","""Bastok (S)"", ""Bastok Markets (S)""","259","medium-long","Notes: ""Mining activities were forced to a halt when a squadron of Quadav seiged the entrance to the Palborough Mines. Not to say that mining day after day is a bag of laughs, but having no work at all is even worse. May..."
"Goldagrik","1332","""Jeuno"", ""Lower Jeuno""","258","medium-long; instruction wording","Notes: The owner of the Moblin Maze Mongers. Speaking to Goldagrik will allow you to obtain a starter set of items for the Moblin Maze Mongers system which includes: *Tattered Maze Monger Pouch *Maze Tabula M01 *Maze Vou..."
"Parlemaille","1873","""Norg""","258","medium-long","Notes: ""The jungle that covers this island is so big, it's divided into two--the Yhoator Jungle and the Yuhtunga Jungle. I wouldn't recommend traveling without a map, since you could get lost, or...eaten. Remember, it's ..."
"Event Moogle","470","""Northern San d'Oria""","257","medium-long","Notes: * These moogles appear during seasonal events, usually at the major towns, but sometimes in the fields. *There are two types of Event Moogles, ones responsible for guiding adventurers through the various activitie..."
"Grumblix","5043","""Outland"", ""See Goblin Footprint""","257","medium-long; instruction wording","Notes: If you come across a Goblin Footprint in the depths of Promyvion, you may hear voices. If so, you can trade any item to the Footprint to have Grumblix will appear and replay cutscenes for you. Any items traded (fo..."
"Vauderame","5341","""San d'Oria""","257","medium-long","Involved in Quests: * The Tenshodo Showdown * Hitting the Marquisate Involved in Missions: * San d'Oria Mission 1-2: Bat Hunt * San d'Oria Mission 3-1: Infiltrate Davoi * Bastok Mission 2-3: The Emissary * Windurst Missi..."
"Chapa-Cha","840","""Port Windurst"", ""Windurst""","256","medium-long; instruction wording","Notes: ""Beyond this gateway is the Windurst residential area, where you can stay in a Mog House or Rent-a-Room. If you need to hear an explanation, that's Boronene job. So pluck up the courage, and ask Boroene over there..."
"Gentle Tiger (S)","2544","""Bastok (S)"", ""Bastok Markets (S)""","255","medium-long","Starts Quests: * Light in the Darkness * Burden of Suspicion * Honor Under Fire * What Price Loyalty Involved in Quests: * Fires of Discontent * Storm on the Horizon * Fire in the Hole * Quelling The Storm * Beneath the ..."
"Pikini-Mikini","1644","""Mhaura""","255","medium-long","Notes: Sells: *Eye Drops 2,335 - 2,776 *Antidote 284 - 338 *Echo Drops 720 - 856 *Potion 819 - 973 *Distilled Water 10 - 12 *Parchment 1,821 - 1,999 *Lugworm 9 - 12 *Hatchet 450 - 535 *Meat Jerky 108 - 128 *Salsa 133 - 1..."
"Ark Angel TT","4760","""Lumoria""","253","medium-long","Involved in Quests: * Divine Might * Overcome Your Cowardice Involved in Missions: * Zilart Mission 1: The New Frontier * Zilart Mission 8: Return to Delkfutt's Tower * Zilart Mission 14: Ark Angels * Promathia Mission 7..."
"Tillecoe","1523","""Jeuno"", ""Ru'Lude Gardens""","253","medium-long","Notes: As student of the great mage Abdhaljs, she handles all matters related to Diorama Abdhaljs-Ghelsba where private Ballista matches are played, including the distribution of the Ballista Redbook and Whitebook and tr..."
"Wyatt","2671","""San d'Oria (S)"", ""Southern San d'Oria (S)""","252","medium-long; instruction wording","Starts Quests: * Seeing Spots Involved in Quests: * Wrath of the Griffon (interested in the Military Scrip) * Beast from the East (seen in the background talking with customer) * Comeback Queen (Approaches Laila in the p..."
