"Name","Type","Zones","Location","Info","Note","Icon"
"Kithvalio","HELM Vendor NPC","Adoulin; Western Adoulin","Western Adoulin E-8 Pioneers' Coalition","","",""
"Kiwawa","","Heavens Tower; Windurst","Heavens Tower","","",""
"Klaas","Event Sideshow NPC","Port Bastok; Special Event","Port Bastok K-8","Notes:
Allows you play a shooting range mini-game. You must have the blue swimsuits from the main event to participate in hard mode (for chance to earn a Blue Prize Balloon.","Notes:
Allows you play a shooting range mini-game. You must have the blue swimsuits from the main event to participate in hard mode (for chance to earn a Blue Prize Balloon.",""
"Klara","","Bastok (S); Bastok Markets (S) (Cutscene only); Cutscene","Bastok Markets (S) (Cutscene only)","Starts Quests:
- Quelling the Storm

Involved in Quests:
- Fires of Discontent
- Light in the Darkness
- Burden of Suspicion
- Storm on the Horizon
- Fire in the Hole
- Honor Under Fire
- Beneath the Mask
- What Price Loyalty
- The Truth Lies Hid
- Bonds of Mythril

Notes:
*Volker's predecessor as Captain of the The Mythril Musketeers during the Crystal War. *Shares her face-type with Elivira Gogol. *Her full name is Klara Bester.","Starts Quests:
- Quelling the Storm

Involved in Quests:
- Fires of Discontent
- Light in the Darkness
- Burden of Suspicion
- Storm on the Horizon
- Fire in the Hole
- Honor Under Fire
- Beneath the Mask
- What Price Loyalty
- The Truth Lies Hid
- Bonds of Mythril

Notes:
*Volker's predecessor as Captain of the The Mythril Musketeers during the Crystal War. *Shares her face-type with Elivira Gogol. *Her full name is Klara Bester.",""
"Klaus","","Bastok; Port Bastok","Port Bastok F-7","","",""
"Kleh Engyumoh","","Windurst (S); Windurst Waters (S)","Windurst Waters (S) F-9 - North","Involved in Quests:
- When One Man Is Not Enough","Involved in Quests:
- When One Man Is Not Enough",""
"Kobhi Sarhigamya","Item Deliverer","Kazham","Kazham E-7","","","Deliverer.png"
"Kobite-Mojite","","Windurst; Windurst Waters map = North|G-9","Windurst Waters map = North|G-9","","",""
"Koblakiq","Quest Giver","Oldton Movalpolos","Oldton Movalpolos H-11","Starts Quests:
- Missionary Moblin
- For the Birds
- Better the Demon You Know

Notes:
*Located on the bottom section.","Starts Quests:
- Missionary Moblin
- For the Birds
- Better the Demon You Know

Notes:
*Located on the bottom section.",""
"Kobunono","Adventurer's Assistant NPC","Windurst; Windurst Walls","Windurst Walls I-11","Notes:
Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major cities. Here adventurers gather to bid on battle spoils, unwanted items, old armor...almost anything. Currently, the auction houses in Bastok, San d'Oria, Windurst, and Jeuno all work independently. Therefore, prices differ from city to city. Adventurers may use any auction house regardless of nationality. Is there anything else you would like to know? :*""How are auctions run?"": The first adventurer to bid at or above the asking price will automatically purchase the product. Once put up for auction, merchandise will remain there for a maximum of nine weeks Vana'diel time (three days earth time). If merchandise does not sell within this time limit, it will be returned to the seller's current residence. Is there anything else you would like to know? :*""Are there any fees?"": Transaction fees are proportional to the amount for which an item is put up on auction. The method of calculating this fee is different for single items and stackable items. A transaction fee is collected when any merchandise is put up for auction. This fee is nonrefundable. Is there anything else you would like to know? :*""Are there any limits?"": The International Auction House Committee, or IAHC, has declared that a maximum of seven items may be put up for auction at one time. However the IAHC has recently removed the limit to how many items one may purchase. Is there anything else you would like to know? :*""How do you check up on merchandise?"": A small amount of time is required before new merchandise appears on our bid list. Once an item appears on your ""Sales Status"" list, it may not immediately appear on the bid list. If you do no see your item on the bid list, try looking again at a later time. Is there anything else you would like to know? :*""How do remove an item?"": If you would like to withdraw an item from an auction, you must travel to an auction house in the country where you initially put the item up for sale, and select ""Stop Sale"" from the ""Sales Status"" menu. Is there anything else you would like to know? :*""My ""Sales Status"" list is full!"": To remove an item from your ""Sales Status"" list, you must visit an auction counter to acknowledge the sale or return of your merchandise. Otherwise previously sold or returned items will fill up your list and prevent you from selling any more merchandise. At any auction counter, open the ""Sales Status"" menu and acknowledge the transaction to clear it from the list. Press the confirm button to remove any transaction colored yellow (sold) or red (returned). Is there anything else you would like to know? :*""Nothing right now."": In the past, many have amassed great wealth through the auction house. I hope you find fortune, too!","Notes:
Offers Information on the Auction House: :Welcome to the Auction House. Do you have any questions about our establishment? :*""What is the Auction House?"": Auctions houses can be found in all of Vana'diel's major cities. Here adventurers gather to bid on battle spoils, unwanted items, old armor...almost anything. Currently, the auction houses in Bastok, San d'Oria, Windurst, and Jeuno all work independently. Therefore, prices differ from city to city. Adventurers may use any auction house regardless of nationality. Is there anything else you would like to know? :*""How are auctions run?"": The first adventurer to bid at or above the asking price will automatically purchase the product. Once put up for auction, merchandise will remain there for a maximum of nine weeks Vana'diel time (three days earth time). If merchandise does not sell within this time limit, it will be returned to the seller's current residence. Is there anything else you would like to know? :*""Are there any fees?"": Transaction fees are proportional to the amount for which an item is put up on auction. The method of calculating this fee is different for single items and stackable items. A transaction fee is collected when any merchandise is put up for auction. This fee is nonrefundable. Is there anything else you would like to know? :*""Are there any limits?"": The International Auction House Committee, or IAHC, has declared that a maximum of seven items may be put up for auction at one time. However the IAHC has recently removed the limit to how many items one may purchase. Is there anything else you would like to know? :*""How do you check up on merchandise?"": A small amount of time is required before new merchandise appears on our bid list. Once an item appears on your ""Sales Status"" list, it may not immediately appear on the bid list. If you do no see your item on the bid list, try looking again at a later time. Is there anything else you would like to know? :*""How do remove an item?"": If you would like to withdraw an item from an auction, you must travel to an auction house in the country where you initially put the item up for sale, and select ""Stop Sale"" from the ""Sales Status"" menu. Is there anything else you would like to know? :*""My ""Sales Status"" list is full!"": To remove an item from your ""Sales Status"" list, you must visit an auction counter to acknowledge the sale or return of your merchandise. Otherwise previously sold or returned items will fill up your list and prevent you from selling any more merchandise. At any auction counter, open the ""Sales Status"" menu and acknowledge the transaction to clear it from the list. Press the confirm button to remove any transaction colored yellow (sold) or red (returned). Is there anything else you would like to know? :*""Nothing right now."": In the past, many have amassed great wealth through the auction house. I hope you find fortune, too!",""
"Kocchi-Arocchi","","Abyssea; Tahrongi Canyon","Tahrongi Canyon","Starts Quests:
- Megadrile Menace","Starts Quests:
- Megadrile Menace",""
"Kocco Ehllek","","Windurst (S); Windurst Waters (S) map = South|H-8, Southern Section)","Windurst Waters (S) map = South|H-8, Southern Section)","Starts Quests:
- Redeeming Rocks","Starts Quests:
- Redeeming Rocks",""
"Kochahy-Muwachahy","Conquest Overseer - Jeuno Conquest Guard","Jeuno; Port Jeuno","Port Jeuno K-8","Notes:
;Notes for all characters: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Mission-Rank bar of the character's appropriate Nation (the red bar at the character's profile) :*Sells items for Conquest Points of the character's appropriate Nation (Items for Bastok / Items for San d'Oria / Items for Windurst) at certain conditions. It will be also possible to get some items of other Nations at the guards, if your current Allegiance ranks higher at the weekly Conquest results (for further information see under the items articles) :*Explains the Conquest system by choosing some available questions. For further information see Conquest Overseer.","Notes:
;Notes for all characters: :*Casts Signet :*Recharges Emperor Band, Empress Band or Chariot Band :*Accepts traded Crystals for filling up the Mission-Rank bar of the character's appropriate Nation (the red bar at the character's profile) :*Sells items for Conquest Points of the character's appropriate Nation (Items for Bastok / Items for San d'Oria / Items for Windurst) at certain conditions. It will be also possible to get some items of other Nations at the guards, if your current Allegiance ranks higher at the weekly Conquest results (for further information see under the items articles) :*Explains the Conquest system by choosing some available questions. For further information see Conquest Overseer.",""
"Kocho Phunakcham","","Kazham","Kazham I-8","","",""
"Koetsu","","Norg","Norg H-9","Involved in Missions:
- Zilart Mission 1: The New Frontier","Involved in Missions:
- Zilart Mission 1: The New Frontier",""
"Kogri-Nargri","","Windurst; Windurst Waters map = North|F-10","Windurst Waters map = North|F-10","","",""
"Koh Lenbalalako","","Mhaura","Mhaura F-9 - Blacksmiths' Guild","Involved in Quests:
- Fire and Brimstone
- Unbridled Passion","Involved in Quests:
- Fire and Brimstone
- Unbridled Passion",""
"Koh Lenbalalako (S)","Cutscene NPC","Jeuno (S)","","Involved in Quests:
- Sins of the Mothers
- Manifest Destiny","Involved in Quests:
- Sins of the Mothers
- Manifest Destiny",""
"Kohlo-Lakolo","Quest Giver","Port Windurst; Windurst","Port Windurst G-5","Starts Quests:
- Truth, Justice, and the Onion Way!
- Know One's Onions
- Inspector's Gadget!
- Onion Rings
- Crying Over Onions
- The Promise

Involved in Quests:
- Wild Card (Quest)

Notes:
This spunky young taru is only a kid, but he's still the leader of the famous Star Onion Brigade !","Starts Quests:
- Truth, Justice, and the Onion Way!
- Know One's Onions
- Inspector's Gadget!
- Onion Rings
- Crying Over Onions
- The Promise

Involved in Quests:
- Wild Card (Quest)

Notes:
This spunky young taru is only a kid, but he's still the leader of the famous Star Onion Brigade !",""
"Kohpe Takhabio","","Windurst; Windurst Woods","Windurst Woods K-12","","",""
"Kohpo-Akuupo","","Windurst; Windurst Walls","Windurst Walls G-13","","",""
"Kokila","","Tavnazian Safehold","Tavnazian Safehold G-8","","",""
"Koko Lihzeh","","Windurst; Windurst Waters map = North|K-6","Windurst Waters map = North|K-6","Involved in Quests:
- Riding on the Clouds

Notes:
*Koko Lihzeh is the only Mithra in her class at the Aurastery. *Described in Riding on the Clouds as, ""The smartest looking mithra child.""","Involved in Quests:
- Riding on the Clouds

Notes:
*Koko Lihzeh is the only Mithra in her class at the Aurastery. *Described in Riding on the Clouds as, ""The smartest looking mithra child.""",""
"Kolapo-Oilapo","","West Sarutabaruta; Windurst","West Sarutabaruta I-10","","",""
"Kolin-Olin","","Windurst (S); Windurst Waters (S)","Windurst Waters (S) H-9 - North","","",""
"Komalata","Standard Merchant","Main level in Tavnazian Safehold; Tavnazian Safehold","Main level in Tavnazian Safehold G-7","","",""
"Komomo","","Windurst; Windurst Walls","Windurst Walls C-6","","",""
"Komulili","Warp NPC","Windurst; Windurst Walls","Windurst Walls J-11","Notes:
A warp NPC. She will warp you for free to Machu-Kuchu (Port Windurst, E-7).","Notes:
A warp NPC. She will warp you for free to Machu-Kuchu (Port Windurst, E-7).",""
"Kongramm","","Adoulin; Western Adoulin","Western Adoulin I-5","Involved in Quests:
- A Certain Substitute Patrolman
- Transporting","Involved in Quests:
- A Certain Substitute Patrolman
- Transporting",""
"Koowawa","","Windurst; Windurst Waters map = North|E-9","Windurst Waters map = North|E-9","","",""
"Kopol-Rapol","","Windurst (S); Windurst Waters (S)","Windurst Waters (S) K-6 - North","","",""
"Kopopo","Guild Merchant NPC: Culinarians' Guild","Windurst; Windurst Waters map = North|E-8","Windurst Waters map = North|E-8","Notes:
Open: 5:00 - 20:00.No longer closed Darksday.","Notes:
Open: 5:00 - 20:00.No longer closed Darksday.",""
"Kopua-Mobua","Mentor Recruiter NPC","Windurst; Windurst Woods","Windurst Woods G-11","","",""
"Kopuro-Popuro","","Windurst; Windurst Woods","Windurst Woods H-10","Starts Quests:
- The All-New C-2000
- Legendary Plan B
- The All-New C-3000

Involved in Quests:
- Lost Chick","Starts Quests:
- The All-New C-2000
- Legendary Plan B
- The All-New C-3000

Involved in Quests:
- Lost Chick",""
"Kopuro-Popuro (A)","","Abyssea; Abyssea - Tahrongi","Abyssea - Tahrongi","Involved in Quests:
- His Box, His Beloved","Involved in Quests:
- His Box, His Beloved",""
"Korbi-Marobi","","Tavnazian Safehold","Tavnazian Safehold K-9 upper level","","",""
"Koriso-Manriso","Item Deliverer","Jeuno; Upper Jeuno","Upper Jeuno G-9","","","Deliverer.png"
"Kororo","","Windurst; Windurst Woods Manustery","Windurst Woods Manustery(H-9)","Starts Quests:
- A Greeting Cardian

Involved in Quests:
- Lost Chick","Starts Quests:
- A Greeting Cardian

Involved in Quests:
- Lost Chick",""
"Kororo (A)","","Abyssea; Abyssea - Grauberg","Abyssea - Grauberg","","",""
"Kortso-Paratso","","Jeuno; Upper Jeuno","Upper Jeuno H-8","","",""
"Koru-Moru","","Windurst; Windurst Walls","Windurst Walls E-7 *Also appears as a jockey during Chocobo Races - Rakapopo Cup, riding Starlight owned by Kupipi.","Starts Quests:
- Blast from the Past
- Nothing Matters
- Star Struck

Involved in Quests:
- BLM AF1: The Three Magi
- BLM AF2: Recollections
- BLM AF3: The Root of the Problem
- SMN AF1: The Puppet Master
- SMN AF2: Class Reunion
- SMN AF3: Carbuncle Debacle
- Making the Grade
- Riding on the Clouds

Involved in Missions:
- Promathia Mission 3-3: The Road Forks
- A Shantotto Ascension
- The Voracious Resurgence: Koru-Moru's Hypothesis

Notes:
* Principal and current Minister of the Aurastery. * Described in Riding on the Clouds as, ""A man known for his magic doll upgrades.""","Starts Quests:
- Blast from the Past
- Nothing Matters
- Star Struck

Involved in Quests:
- BLM AF1: The Three Magi
- BLM AF2: Recollections
- BLM AF3: The Root of the Problem
- SMN AF1: The Puppet Master
- SMN AF2: Class Reunion
- SMN AF3: Carbuncle Debacle
- Making the Grade
- Riding on the Clouds

Involved in Missions:
- Promathia Mission 3-3: The Road Forks
- A Shantotto Ascension
- The Voracious Resurgence: Koru-Moru's Hypothesis

Notes:
* Principal and current Minister of the Aurastery. * Described in Riding on the Clouds as, ""A man known for his magic doll upgrades.""",""
"Koru-Moru (S)","","Cutscene; Windurst; Windurst Waters (S), cutscene only","Windurst Waters (S), cutscene only","Involved in Quests:
- The Tigress Stirs
- The Tigress Strikes
- Knot Quite There

Notes:
*Minister of the Aurastery during the Crystal War.","Involved in Quests:
- The Tigress Stirs
- The Tigress Strikes
- Knot Quite There

Notes:
*Minister of the Aurastery during the Crystal War.",""
"Kotan-Moritan","","Windurst; Windurst Waters map = North|G-7","Windurst Waters map = North|G-7","","",""
"Kotan-Purutan","","Mhaura","Mhaura I-9","Involved in Quests:
- Overnight Delivery","Involved in Quests:
- Overnight Delivery",""
"Koton-Llaton","","Windurst (S); Windurst Waters (S)","Windurst Waters (S) K-8 - South","","",""
"Kototo","","Windurst; Windurst Woods","Windurst Woods J-4","","",""
"Kouang","Auction House (Port Jeuno)","Jeuno; Port Jeuno","Port Jeuno I-8","","",""
"Koyol-Futenol","Traveling Bard","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate E-9","Notes:
*Will change your Title for a fee or can give you a random title for free. * Xbox Achievement unlocker *For a full list of titles, which you can get with this NPC, see Titles.","Notes:
*Will change your Title for a fee or can give you a random title for free. * Xbox Achievement unlocker *For a full list of titles, which you can get with this NPC, see Titles.",""
"Krepol","","Adoulin; Eastern Adoulin","Eastern Adoulin H-6","","",""
"Krieger","","Bastok; Metalworks","Metalworks G-7","","",""
"Kristen","","Windurst (S); Windurst Waters (S) map = North|H-9","Windurst Waters (S) map = North|H-9","","",""
"Krujaal","Room Renter","Al Zahbi","Al Zahbi I-10","","",""
"Kuah Dakonsa","","Jeuno; Lower Jeuno","Lower Jeuno H-8","Involved in Quests:
- Unlisted Qualities","Involved in Quests:
- Unlisted Qualities",""
"Kuah Dakonsa (A)","","Abyssea; Abyssea - Uleguerand Third Outpost","Abyssea - Uleguerand Third Outpost","","",""
"Kubhe Ijyuhla","","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate I-8","Starts Quests:
- Three Men and a Closet

Involved in Quests:
- Promotion: Second Lieutenant","Starts Quests:
- Three Men and a Closet

Involved in Quests:
- Promotion: Second Lieutenant",""
"Kucha Malkobhi","Standard Merchant","Port Windurst; Windurst","Port Windurst E-7, West of the Home Point","","",""
"Kuchi Eyjhann","Cutscene NPC","Abyssea; Valkurm Dunes","Valkurm Dunes","Starts Quests:
- A Delectable Demon","Starts Quests:
- A Delectable Demon",""
"Kudjreel","","Al Zahbi; Battle; Lebros Cavern","Lebros Cavern","Involved in Missions:
- Operation: Black Pearl

Notes:
*Warns whenever a wave is approaching. *Doesn't last very long if attacked.","Involved in Missions:
- Operation: Black Pearl

Notes:
*Warns whenever a wave is approaching. *Doesn't last very long if attacked.",""
"Kueh Igunahmori","Guild Merchant NPC: Leathercraft :Open: 3:00 - 18:00 :No longer closed Iceday","San d'Oria; Southern San d'Oria","Southern San d'Oria D-8|Tanners' Guild (upper floor)","","",""
"Kuesoso","","Windurst; Windurst Waters map = North|K-7","Windurst Waters map = North|K-7","","",""
"Kuhmden","","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate J-8, Inside of the Walahra Temple","","",""
"Kuhn Tsahnpri","Adventurer Assistent","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate I-5","","",""
"Kuihlud","","Al Zahbi; Leujaoam Sanctum","Leujaoam Sanctum J-7","Involved in Missions:
- Supplies Recovery","Involved in Missions:
- Supplies Recovery",""
"Kukki-Chebukki","Cutscene NPC","Cutscene; Tavnazian Safehold","","Involved in Missions:
- Promathia Mission 2-1: An Invitation West
- Promathia Mission 2-2: The Lost City
- Promathia Mission 2-3: Distant Beliefs
- Promathia Mission 2-5: Ancient Vows
- The Road Forks: The Road Forks
- Promathia Mission 4-2: The Savage
- Promathia Mission 5-2: Desires of Emptiness
- Promathia Mission 5-3: Three Paths
- Past Sins (Louverance Path)
- Promathia Mission 6-2: A Place to Return
- Promathia Mission 6-3: More Questions than Answers
- Promathia Mission 6-4: One to be Feared
- Promathia Mission 7-1: Chains and Bonds
- Promathia Mission 7-3: Fire in the Eyes of Men
- Promathia Mission 7-4: Calm Before the Storm
- Promathia Mission 7-5: The Warrior's Path
- Promathia Mission 8-1: The Garden of Antiquity
- Promathia Mission 8-3: When Angels Fall
- Promathia Mission 8-4: Dawn

Notes:
Kukki-Chebukki is the middle child of the three Chebukki siblings; you first meet them in the opening cutscene of Chapter 2 of the Chains of Promathia Missions.","Involved in Missions:
- Promathia Mission 2-1: An Invitation West
- Promathia Mission 2-2: The Lost City
- Promathia Mission 2-3: Distant Beliefs
- Promathia Mission 2-5: Ancient Vows
- The Road Forks: The Road Forks
- Promathia Mission 4-2: The Savage
- Promathia Mission 5-2: Desires of Emptiness
- Promathia Mission 5-3: Three Paths
- Past Sins (Louverance Path)
- Promathia Mission 6-2: A Place to Return
- Promathia Mission 6-3: More Questions than Answers
- Promathia Mission 6-4: One to be Feared
- Promathia Mission 7-1: Chains and Bonds
- Promathia Mission 7-3: Fire in the Eyes of Men
- Promathia Mission 7-4: Calm Before the Storm
- Promathia Mission 7-5: The Warrior's Path
- Promathia Mission 8-1: The Garden of Antiquity
- Promathia Mission 8-3: When Angels Fall
- Promathia Mission 8-4: Dawn

Notes:
Kukki-Chebukki is the middle child of the three Chebukki siblings; you first meet them in the opening cutscene of Chapter 2 of the Chains of Promathia Missions.",""
"Kukupp","","Kazham","Kazham I-11","Involved in Quests:
- The Opo-opo and I

Notes:
* Accepts the Workbench for The Opo-opo and I.","Involved in Quests:
- The Opo-opo and I

Notes:
* Accepts the Workbench for The Opo-opo and I.",""
"Kuleo","Outpost Vendor","North Gustaberg; Outland","North Gustaberg D-10","Notes:
Appears when Gustaberg is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All items which Standard Merchants normally buy, can be traded by all characters for regional influence points. The points are awarded to the trader's current Allegiance. :*Teleports players who have previously done a Supply Run for the specific region, to their Allegiance Teleport NPC in one of the three cities. For further information, see Outpost Vendor. ;Items sold: *Antidote 316gil *Echo Drops 800gil *Ether 4832gil *Eye Drops 2595gil *Potion 910gil","Notes:
Appears when Gustaberg is under weekly conquest-control by one of the three nations. :*Sells to and buys items from characters allied with the nation that has the weekly conquest-control of this region. :*All items which Standard Merchants normally buy, can be traded by all characters for regional influence points. The points are awarded to the trader's current Allegiance. :*Teleports players who have previously done a Supply Run for the specific region, to their Allegiance Teleport NPC in one of the three cities. For further information, see Outpost Vendor. ;Items sold: *Antidote 316gil *Echo Drops 800gil *Ether 4832gil *Eye Drops 2595gil *Potion 910gil",""
"Kulh Amariyo","Standard Merchant","Aht Urhgan Whitegate; Al Zahbi","Aht Urhgan Whitegate I-10","","",""
"Kumama","Standard Merchant","Port Windurst; Windurst","Port Windurst H-9 in Guruna-Maguruna Tailoring","","",""
"Kumumu","Cage Teleporter","Pankration; The Colosseum","The Colosseum F-9","","",""
"Kunchichi","","Port Windurst; Windurst","Port Windurst E-7","Involved in Quests:
- Lure of the Wildcat (Windurst)","Involved in Quests:
- Lure of the Wildcat (Windurst)",""
"Kuoh Rhel","Quest Giver NPC","Windurst; Windurst Woods","Windurst Woods K-12","Starts Quests:
- Chocobilious
- In a Stew","Starts Quests:
- Chocobilious
- In a Stew",""
"Kuoh Rhel (A)","Quest Giver NPC","Abyssea; Abyssea - Grauberg","Abyssea - Grauberg G-7","Starts Quests:
- Chocobo Panic","Starts Quests:
- Chocobo Panic",""
"Kupalu-Harupalu","","(Unnamed point) Sea Serpent Grotto","(Unnamed point) Sea Serpent Grotto (C-11) Map 3","Involved in Quests:
- Relic Weapon: Kikoku

Notes:
*Wields Kikoku.","Involved in Quests:
- Relic Weapon: Kikoku

Notes:
*Wields Kikoku.",""
"Kupatete","","Castle Zvahl Keep; Outland","Castle Zvahl Keep","Involved in Missions:
- A Challenge! You Could Be a Winner","Involved in Missions:
- A Challenge! You Could Be a Winner",""
"Kupeliaure","","","","Starts Missions:
- Curses! A Horrifically Harrowing Hex

Involved in Missions:
- A Moogle Kupo d'Etat","Starts Missions:
- Curses! A Horrifically Harrowing Hex

Involved in Missions:
- A Moogle Kupo d'Etat",""
"Kupeliont","","San d'Oria","","Notes:
Discusses various events in Vana'diel with Kupulele and Kupold.","Notes:
Discusses various events in Vana'diel with Kupulele and Kupold.",""
"Kupert","","Castle Zvahl Keep; Outland","Castle Zvahl Keep","Involved in Missions:
- A Challenge! You Could Be a Winner","Involved in Missions:
- A Challenge! You Could Be a Winner",""
"Kupignol","","Castle Zvahl Keep; Outland","Castle Zvahl Keep","Involved in Missions:
- A Challenge! You Could Be a Winner","Involved in Missions:
- A Challenge! You Could Be a Winner",""
"Kupignot","","Castle Zvahl Keep; Outland","Castle Zvahl Keep","Involved in Missions:
- A Challenge! You Could Be a Winner","Involved in Missions:
- A Challenge! You Could Be a Winner",""
"Kupipi","","Heavens Tower (North end of ground floor, in the Clerical Chamber) *Also appears as a guest during Chocobo Races - Rakapopo Cup, with her own chocobo, Starlight on the track ridden by Koru-Moru.; Windurst","Heavens Tower (North end of ground floor, in the Clerical Chamber) *Also appears as a guest during Chocobo Races - Rakapopo Cup, with her own chocobo, Starlight on the track ridden by Koru-Moru.","Involved in Quests:
- Riding on the Clouds
- BLM AF3 quest: The Root of the Problem
- Trust: Windurst
- Obtaining a Ballista License (as an envoy to the Star Sybil)

Starts Missions:
- Kupipi's Dilemma (The Voracious Resurgence 2-1)

Involved in Missions:
- Bastok Mission 2-3: The Emissary
- San d'Oria Mission 2-3: Journey Abroad
- Windurst Mission 2-3: The Three Kingdoms
- Windurst Mission 3-1: To Each His Own Right
- Windurst Mission 3-2: Written in the Stars
- Windurst Mission 8-2: The Jester Who'd Be King

Notes:
Described in Riding on the Clouds as, ""A lady that jumps for joy at the sight of Rolanberry souvenirs.""","Involved in Quests:
- Riding on the Clouds
- BLM AF3 quest: The Root of the Problem
- Trust: Windurst
- Obtaining a Ballista License (as an envoy to the Star Sybil)

Starts Missions:
- Kupipi's Dilemma (The Voracious Resurgence 2-1)

Involved in Missions:
- Bastok Mission 2-3: The Emissary
- San d'Oria Mission 2-3: Journey Abroad
- Windurst Mission 2-3: The Three Kingdoms
- Windurst Mission 3-1: To Each His Own Right
- Windurst Mission 3-2: Written in the Stars
- Windurst Mission 8-2: The Jester Who'd Be King

Notes:
Described in Riding on the Clouds as, ""A lady that jumps for joy at the sight of Rolanberry souvenirs.""",""
"Kupipi (A)","","Abyssea - Tahrongi","Abyssea - Tahrongi H-12","Starts Quests:
- Cleansing the Canyon
- Tangling with Tongue-twisters","Starts Quests:
- Cleansing the Canyon
- Tangling with Tongue-twisters",""
"Kupiruru","","Chamber of Oracles; Outland","Chamber of Oracles","Involved in Missions:
- Roar! A Cat Burglar Bares Her Fangs

Notes:
*Betrothed to your moogle.","Involved in Missions:
- Roar! A Cat Burglar Bares Her Fangs

Notes:
*Betrothed to your moogle.",""
"Kupivolo","Cutscene NPC","Cutscene; Imprisoned in Bostaunieux Oubliette; Outland","Imprisoned in Bostaunieux Oubliette","Involved in Quests:
- Hypnotic Hospitality

Notes:
Related to Riko Kupenreich.","Involved in Quests:
- Hypnotic Hospitality

Notes:
Related to Riko Kupenreich.",""
"Kupofried","Cutscene NPC","Cutscene; Walk of Echoes","Walk of Echoes","Starts Quests:
- Kupofried's H2H Moogle Magic
- Kupofried's Axe Moogle Magic
- Kupofried's Polearm Moogle Magic
- Kupofried's Dagger Moogle Magic
- Kupofried's Scythe Moogle Magic
- Kupofried's Marksmanship Moogle Magic
- Kupofried's Great Sword Moogle Magic
- Kupofried's Great Katana Moogle Magic
- Kupofried's Club Moogle Magic
- Kupofried's Archery Moogle Magic
- Kupofried's Sword Moogle Magic
- Kupofried's Great Axe Moogle Magic
- Kupofried's Katana Moogle Magic
- Kupofried's Staff Moogle Magic

Involved in Quests:
- Guardian of the Void
- A Cait Calls
- Between a Rock and Rift","Starts Quests:
- Kupofried's H2H Moogle Magic
- Kupofried's Axe Moogle Magic
- Kupofried's Polearm Moogle Magic
- Kupofried's Dagger Moogle Magic
- Kupofried's Scythe Moogle Magic
- Kupofried's Marksmanship Moogle Magic
- Kupofried's Great Sword Moogle Magic
- Kupofried's Great Katana Moogle Magic
- Kupofried's Club Moogle Magic
- Kupofried's Archery Moogle Magic
- Kupofried's Sword Moogle Magic
- Kupofried's Great Axe Moogle Magic
- Kupofried's Katana Moogle Magic
- Kupofried's Staff Moogle Magic

Involved in Quests:
- Guardian of the Void
- A Cait Calls
- Between a Rock and Rift",""
"Kupold","","Bastok","","Notes:
Discusses various events in Vana'diel with Kupulele and Kupeliont.","Notes:
Discusses various events in Vana'diel with Kupulele and Kupeliont.",""
"Kupuckl","","Castle Zvahl Keep; Outland","Castle Zvahl Keep","Involved in Missions:
- A Challenge! You Could Be a Winner","Involved in Missions:
- A Challenge! You Could Be a Winner",""
"Kupulele","","Windurst","","Notes:
*Discusses various events in Vana'diel with Kupold and Kupeliont.","Notes:
*Discusses various events in Vana'diel with Kupold and Kupeliont.",""
"Kupupu","","Mhaura","Mhaura G-9","","",""
"Kurando","Quest Giver","Bastok; Port Bastok","Port Bastok H-6, near the tunnel on the lower section","Starts Quests:
- Fear of Flying","Starts Quests:
- Fear of Flying",""
"Kuroido-Moido","","Port Windurst on stage inside Orastery; Windurst","Port Windurst on stage inside Orastery (E-7)","Starts Quests:
- Making Amens!
- Orastery Woes

Involved in Missions:
- Windurst Mission 1-1: The Horutoto Ruins Experiment
- Windurst Mission 3-1: To Each His Own Right
- Windurst Mission 6-1: Full Moon Fountain
- That Which Curdles Blood","Starts Quests:
- Making Amens!
- Orastery Woes

Involved in Missions:
- Windurst Mission 1-1: The Horutoto Ruins Experiment
- Windurst Mission 3-1: To Each His Own Right
- Windurst Mission 6-1: Full Moon Fountain
- That Which Curdles Blood",""
"Kuroido-Moido (A)","","Abyssea; Abyssea - Tahrongi","Abyssea - Tahrongi","","",""
