Type,Count,Status,Suggestion,Sources,Examples
"Assault Mission Giver NPC: Nyzul Isle",1,"review","","legacy_wiki=1","Sorrowful Sage (legacy_wiki)"
"Assault Mission Giver NPC: Periqia",1,"review","","legacy_wiki=1","Lageegee (legacy_wiki)"
"Assault Periqia NPC",1,"review","","legacy_wiki=1","Nahshib (legacy_wiki)"
"Assault Permits",1,"review","","npc=1","Zasshal (npc)"
"Atma Fabrication",1,"review","","npc=1","Atma Fabricant (npc)"
"Atma Infusion",1,"review","","npc=1","Atma Infusionist (npc)"
"Atmacite Refiner",1,"review","","npc=1","Atmacite Refiner (npc)"
"Augment",1,"review","","npc=1","Divainy-Gamainy (npc)"
"Aurastery Minister",1,"review","","npc=1","Koru-Moru (S) (npc)"
"Azouph Assault",1,"review","","npc=1","Nareema (npc)"
"Bag",1,"review","","item=1","Bag (item)"
"Ballista Information",1,"review","","npc=1","Pursuivant (npc)"
"Ballista Referee",1,"review","","npc=1","Herald (npc)"
"Ballista/Brenner Referee",1,"review","","legacy_wiki=1","Herald (legacy_wiki)"
"Bard Unlock",1,"review","","npc=1","Mertaire (npc)"
"Barge NPC",1,"review","","npc=1","Eunirange (npc)"
"Barrel",1,"review","","item=1","Barrel (item)"
"Bastion",1,"review","","npc=1","Bastion Prefect (npc)"
"Bastion Structure",1,"review","","npc=1","Stockade (npc)"
"Battle cry.",1,"review","","npc=1","Nyumomo (npc)"
"Battlefield Access",1,"review","","npc=1","Ropchop (npc)"
"Battlefield Transport",1,"review","","npc=1","Afdeen (npc)"
"Bayld Buffs",1,"review","","npc=1","Farso-Dafarso (npc)"
"Black Mage Artifact",1,"review","","npc=1","Chumimi (npc)"
"Bloodlust Cage Fight Announcer",1,"review","","legacy_wiki=1","Flapping Gums (legacy_wiki)"
"Blue Mage Unlock",1,"review","","npc=1","Waoud (npc)"
"Bodyguard",1,"review","","npc=1","Paito-Maito (npc)"
"Bonanza Moogle",1,"review","","npc=1","Dealer Moogle (npc)"
"Bonanza Reward",1,"review","","npc=1","Bonanza Moogle (npc)"
"Bookshelf",1,"review","","item=1","Bookshelf (item)"
"Box",1,"review","","item=1","Box (item)"
"Brother to Gallijaux (A).",1,"review","","npc=1","Joulet (A) (npc)"
"Brother to Joulet (A).",1,"review","","npc=1","Gallijaux (A) (npc)"
"Bundle Exchange",1,"review","","npc=1","Moogle Crafter (npc)"
"Burning Circle",1,"review","","item=1","Burning Circle (item)"
"Campaign Battle/Special Event NPC",1,"review","","legacy_wiki=1","Chigoe (NPC) (legacy_wiki)"
"Campaign Volunteer",1,"review","","npc=1","Volunteer (npc)"
"Cardian",1,"review","","npc=1","Five of Spades (npc)"
"Casts Cure V on himself.",1,"review","","npc=1","Febrenard C Brunnaut (npc)"
"Casts Flash and Stun.",1,"review","","npc=1","Qiqirn Bewitcher (npc)"
"Cathedral Guard",1,"review","","npc=1","Charlaimagnat (npc)"
"Cavernous Maw",1,"review","","item=1","Cavernous Maw (item)"
"Centurion",1,"review","","npc=1","Adelbrecht (npc)"
"Chantry",1,"review","","item=1","Door. Chantry (item)"
"Child",1,"review","","npc=1","Amajal (npc)"
"Chocbobet Center Clerk",1,"review","","legacy_wiki=1","Sudha Rhilimanyme (legacy_wiki)"
"Chocobo",1,"review","","npc=1","Silver Comet (npc)"
"Chocobo Circuits",1,"review","","npc=1","Michaela (npc)"
"Chocobo Renter NPC",1,"review","","legacy_wiki=1","Emoussine (legacy_wiki)"
"Chocobo Services",1,"review","","npc=1","Mapitoto (npc)"
"City Transport",1,"review","","npc=1","Javolio (npc)"
"Clamming Point",1,"review","","item=1","Clamming Point (item)"
"Clipper Guide",1,"review","","npc=1","Khots Chalahko (npc)"
"Clothcraft Guild",1,"review","","npc=1","Tatan-Bilten (npc)"
"Clothcraft Guildworker's Union NPC",1,"review","","legacy_wiki=1","Hauh Colphioh (legacy_wiki)"
"Coalition Guide",1,"review","","npc=1","Task Delegator (npc)"
"Coalition Rewards",1,"review","","npc=1","Malobra (npc)"
"Cohors Commander",1,"review","","npc=1","Zazarg (S) (npc)"
"Competition Official",1,"review","","npc=1","Baitabriq (npc)"
"Conflux Surveyor",1,"review","","npc=1","Conflux Surveyor (npc)"
"Conquest Information",1,"review","","npc=1","Dallus-Mallus (npc)"
"Conquest Overseer - San d'Oria Foreign Conquest Guard",1,"review","","legacy_wiki=1","Panoquieur, T.K. (legacy_wiki)"
"Conquest Overseer - San d'Oria National Conquest Guard",1,"review","","legacy_wiki=1","Arpevion, T.K. (legacy_wiki)"
"Conquest Overseer - Windurst Foreign Conquest Guard",1,"review","","legacy_wiki=1","Chapal-Afal, W.W. (legacy_wiki)"
"Consulate Guard",1,"review","","npc=1","Danngogg (npc)"
"Cooking Quest",1,"review","","npc=1","Ranpi-Monpi (S) (npc)"
"Crafter Points Administration",1,"review","","legacy_wiki=1","Luren (legacy_wiki)"
"Crafter Points NPC",1,"review","","legacy_wiki=1","Tergil (legacy_wiki)"
"Crate",1,"review","","item=1","Crate (item)"
"Cruor Prospector",1,"review","","npc=1","Cruor Prospector (npc)"
"Crystal Storage",1,"review","","npc=1","Ephemeral Moogle (npc)"
"Culinarians' Guildworker's Union NPC",1,"review","","legacy_wiki=1","Qhum Knaidjn (legacy_wiki)"
"Dancer Quest",1,"review","","npc=1","Matthias (npc)"
"Dancer Unlock",1,"review","","npc=1","Laila (npc)"
"Dark Kindred Noble",1,"review","","npc=1","Marquis Amon (npc)"
"Defense Structure",1,"review","","npc=1","Pulse Martello (npc)"
"Delivery Box",1,"review","","npc=1","Meumaude (npc)"
"Delve Entry",1,"review","","npc=1","Anomaly Expert (npc)"
"Delve Entry NPC",1,"review","","legacy_wiki=1","Anomaly Expert (legacy_wiki)"
"Delve Upgrades",1,"review","","npc=1","Benjamien (npc)"
"Diablo Cage Fight Announcer",1,"review","","legacy_wiki=1","Juvenal (legacy_wiki)"
"Diorama Abdhaljs-Ghelsba Officer",1,"review","","legacy_wiki=1","Tillecoe (legacy_wiki)"
"Diorama Officer",1,"review","","npc=1","Tillecoe (npc)"
"Domain Invasion NPC",1,"review","","legacy_wiki=1","Zurim (legacy_wiki)"
"Donation Collector",1,"review","","npc=1","Gajaad (npc)"
"Dragoon AF Quest",1,"review","","npc=1","Ceraulian (npc)"
"Drawbridge Guard",1,"review","","npc=1","Latifah (npc)"
"ENM Information",1,"review","","npc=1","Ophelia (npc)"
"ENM Quest Activator NPC",1,"review","","legacy_wiki=1","Zebada (legacy_wiki)"
"ENM Quest Activator, ENM Reward Exchange NPC",1,"review","","legacy_wiki=1","Venessa (legacy_wiki)"
"ENM Quest Time Checker NPC",1,"review","","legacy_wiki=1","Moritz (legacy_wiki)"
"ENM Quest Timer Checker NPC",1,"review","","legacy_wiki=1","Istvan (legacy_wiki)"
"ENM Reward",1,"review","","npc=1","Venessa (npc)"
"Easter Event",1,"review","","npc=1","Eggbert (npc)"
"Emote Trials",1,"review","","npc=1","Magian Moogl (npc)"
"Engineer",1,"review","","npc=1","Cid (npc)"
"Ergon Locus",1,"review","","item=1","Ergon Locus (item)"
"Escha Guide",1,"review","","npc=1","Nolan (npc)"
"Ethereal Junction",1,"review","","item=1","Ethereal Junction (item)"
"Event Coordinator",1,"review","","npc=1","Charmealaut (npc)"
"Event Services",1,"review","","npc=1","Explorer Moogle (npc)"
"Excavation Point",1,"review","","item=1","Excavation Point (item)"
"Explorer",1,"review","","npc=1","Lord Torresapet B Ordelle (npc)"
"Faded Footprint",1,"review","","item=1","Faded Footprint (item)"
"Fame Checker",1,"review","","npc=1","Civil Registrar (npc)"
"Ferry Access",1,"review","","npc=1","Abihaal (npc)"
"Ferry NPC",1,"review","","npc=1","Ineuteniace (npc)"
"Fish Ranking",1,"review","","npc=1","Chenon (npc)"
"Fish Ranking NPC",1,"review","","legacy_wiki=1","Chenon (legacy_wiki)"
"Fish Trap",1,"review","","item=1","Fish Trap (item)"
"Fishermans' Guild Guildworker's Union NPC",1,"review","","legacy_wiki=1","Fennella (legacy_wiki)"
"Fishing",1,"review","","npc=1","Yahliq (npc)"
"Fishing Competition",1,"review","","npc=1","Reelarik (npc)"
"Fishing Craftsman",1,"review","","npc=1","Panja-Nanja (npc)"
"Fishing Guild Craftsman",1,"review","","legacy_wiki=1","Panja-Nanja (legacy_wiki)"
"Fishing Synthesis Image Support NPC",1,"review","","legacy_wiki=1","Kemha Flasehp (legacy_wiki)"
"Fomor Hate NPC",1,"review","","legacy_wiki=1","Resauchamet (legacy_wiki)"
"Fomor Informant",1,"review","","npc=1","Resauchamet (npc)"
"Fomor Pioneer",1,"review","","npc=1","Shla Kheefid (npc)"
"Food Effect Remover",1,"review","","npc=1","Parike-Poranke (npc)"
"Footprint",1,"review","","item=1","Footprint (item)"
"Former Papsque",1,"review","","npc=1","Muchavatte (npc)"
"Free and Advanced Synthesis Image Support NPC :*Cooking Guild",1,"review","","legacy_wiki=1","Numaaf (legacy_wiki)"
"Free and Advanced Synthesis Image Support NPC :*Smithing Guild",1,"review","","legacy_wiki=1","Macici (legacy_wiki)"
"Fresh Water",1,"review","","item=1","Well (item)"
"Galka NPC",1,"review","","legacy_wiki=1","Festering Wound (legacy_wiki)"
"Gardening",1,"review","","npc=1","Kuu Mohzolhi (npc)"
"General Store",1,"review","","item=1","Door:Taumila's Sundries (item)"
"Geomagnetic Fount",1,"review","","item=1","Geomagnetic Fount (item)"
"Geomancy Instructor",1,"review","","npc=1","Hostenn (npc)"
"Ghost",1,"review","","npc=1","Festering Wound (npc)"
"Ghost Blacksmith",1,"review","","npc=1","Gerwitz (npc)"
"Goblin Informant",1,"review","","npc=1","Fickblix (npc)"
"Gold Musketeer",1,"review","","npc=1","Gold Musketeer Commander Gogol (npc)"
"Goldsmith",1,"review","","npc=1","Ismenios Cutsilver (npc)"
"Goldsmithing Synthesis Image Support NPC",1,"review","","legacy_wiki=1","Rajaaha (legacy_wiki)"
"Great War Recaller",1,"review","","npc=1","Angry Bull (npc)"
"Great War Recaller NPC",1,"review","","legacy_wiki=1","Angry Bull (legacy_wiki)"
"Great War Veteran",1,"review","","npc=1","Zahsa Syalmhaia (npc)"
"Great War Veteran NPC",1,"review","","legacy_wiki=1","Zahsa Syalmhaia (legacy_wiki)"
"Guild Craftsman NPC :*Smithing Guild",1,"review","","legacy_wiki=1","Beadurinc (legacy_wiki)"
"Guildworker's Union NPC *Alchemy",1,"review","","legacy_wiki=1","Hemewmew (legacy_wiki)"
"Guildworker's Union NPC :*Bonecraft",1,"review","","legacy_wiki=1","Samigo-Pormigo (legacy_wiki)"
"Guildworker's Union NPC :*Leathercraft",1,"review","","legacy_wiki=1","Alivatand (legacy_wiki)"
"Guildworker's Union NPC :*Smithing",1,"review","","legacy_wiki=1","Macuillie (legacy_wiki)"
"Guildworker's Union NPC :*Woodworking",1,"review","","legacy_wiki=1","Andreas (legacy_wiki)"
"Happy New Year 2007, Happy New Year 2008, Happy New Year 2009, Happy New Year 2010",1,"review","","legacy_wiki=1","Dilauriome (legacy_wiki)"
"Harbor Guard",1,"review","","npc=1","Somnolent Rooster (npc)"
"Harvest Festival Witch NPC",1,"review","","legacy_wiki=1","Maryse (legacy_wiki)"
"Harvest Point",1,"review","","item=1","Harvest Point (item)"
"Hidden Object",1,"review","","item=1","??? (item)"
"Hidden Passage Guard",1,"review","","npc=1","Sajahb (npc)"
"Ilrusi Assault",1,"review","","npc=1","Meyaada (npc)"
"Immigration NPC NPC",1,"review","","legacy_wiki=1","Beriphaule (legacy_wiki)"
"Informant",1,"review","","npc=1","Blatherix (npc)"
"Information Giver",1,"review","","legacy_wiki=1","Ryo (legacy_wiki)"
"Instance Portal",1,"review","","npc=1","Diaphanous Transposer (npc)"
"Inventors' Coalition",1,"review","","npc=1","Ceciliotte (npc)"
"Inventory Expansion",1,"review","","npc=1","Artisan Moogle (npc)"
"Inventory Quest",1,"review","","npc=1","Bluffnix (npc)"
"Iron Ram Commander",1,"review","","npc=1","Rongelouts N Distaud (S) (npc)"
"Item Deliverer NPC",1,"review","","legacy_wiki=1","Nembet (legacy_wiki)"
"Item Depository NPC",1,"review","","legacy_wiki=1","Olaky-Yayulaky (legacy_wiki)"
"JSE Recycler",1,"review","","npc=1","Makel-Pakel (npc)"
"Kazham Pass",1,"review","","npc=1","Guddal (npc)"
"Key Item NPC",1,"review","","npc=1","Moogle Gatherer (npc)"
"Key Supplier",1,"review","","npc=1","Mashira (npc)"
"King",1,"review","","npc=1","King Destin (npc)"
"Lady-in-Waiting",1,"review","","npc=1","Zubaba (npc)"
"Leathercraft Guild",1,"review","","item=1","Door:Tanners' Guild (item)"
"Leathercraft Guild Master NPC",1,"review","","legacy_wiki=1","Faulpie (legacy_wiki)"
"Leathercraft Support",1,"review","","npc=1","Orechiniel (npc)"
"Legendary Hero",1,"review","","npc=1","Karaha-Baruha (npc)"
"Legion Exchange",1,"review","","npc=1","Mayuyu (npc)"
"Legion Service",1,"review","","npc=1","Saarlan (npc)"
"Legion-NPC",1,"review","","legacy_wiki=1","Saarlan (legacy_wiki)"
"Leujaoam Assault",1,"review","","npc=1","Yahsra (npc)"
"Library Access",1,"review","","npc=1","Eppel-Treppel (npc)"
"Linkpearl Distribution NPCs",1,"review","","legacy_wiki=1","Linkshell Concierge (legacy_wiki)"
"Linkshell Dealer",1,"review","","npc=1","Khel Pahlhama (npc)"
"Linkshell Distributor NPC :*Open from 12:00 - 20:00; Closed on Darksday",1,"review","","legacy_wiki=1","Paunelie (legacy_wiki)"
"Logging Point",1,"review","","item=1","Logging Point (item)"
"Magic Enthusiast",1,"review","","npc=1","Wanja-Daruja (npc)"
"Magic Instructor",1,"review","","npc=1","Diroku-Oroku (npc)"
"Manuscript Room",1,"review","","item=1","Door:Manuscript Room (item)"
"Manustery Minister",1,"review","","npc=1","Apururu (npc)"
"Martello Support",1,"review","","npc=1","Machine Outfitter (npc)"
"Maze Duplication",1,"review","","npc=1","Duplidoc (npc)"
"Mellidopt Trader",1,"review","","npc=1","Lorissa (npc)"
"Mellidopt Wing Trader",1,"review","","legacy_wiki=1","Lorissa (legacy_wiki)"
"Mentor Recruiter NPC",1,"review","","legacy_wiki=1","Kopua-Mobua (legacy_wiki)"
"Mentor Recuiter NPC",1,"review","","legacy_wiki=1","Emeige A.M.A.N. (legacy_wiki)"
"Mercenary Major",1,"review","","npc=1","Perih Vashai (npc)"
"Mercenary Rank",1,"review","","npc=1","Abquhbah (npc)"
"Mercenary Teleport",1,"review","","npc=1","Ajithaam (npc)"
"Mimic NPC",1,"review","","npc=1","Fourth Spitewarden (npc)"
"Mining Point",1,"review","","item=1","Mining Point (item)"
"Mission Ally",1,"review","","npc=1","Lebros Apkallu (npc)"
"Mission Giver NPC",1,"review","","legacy_wiki=1","Tih Pikeh (legacy_wiki)"
"Mission Giver {{Verification",1,"review","","legacy_wiki=1","Puo Rhen (legacy_wiki)"
"Mission Giver; Quest Giver",1,"review","","legacy_wiki=1","Naja Salaheem (legacy_wiki)"
"Mission Ring Replacement",1,"review","","npc=1","Nadeey (npc)"
"Mithra NPC",1,"review","","legacy_wiki=1","Fhara Mashuhba (legacy_wiki)"
"Mog Garden",1,"review","","npc=1","Kuyin Hathdenna (npc)"
"Mog Garden NPC",1,"review","","legacy_wiki=1","Kuyin Hathdenna (legacy_wiki)"
"Monk Quest",1,"review","","npc=1","Dalzakk (npc)"
"Monster Rearing",1,"review","","npc=1","Chacharoon (npc)"
"Monument",1,"review","","item=1","Monument (item)"
"Moogle Companion",1,"review","","npc=1","Kupiruru (npc)"
"Mummers Exchange",1,"review","","npc=1","Masad (npc)"
"Music Selection",1,"review","","npc=1","Ohsi Shomahl (npc)"
"Music changing NPC",1,"review","","legacy_wiki=1","Ohsi Shomahl (legacy_wiki)"
"NPC / Quest Giver",1,"review","","legacy_wiki=1","Nomad Moogle (legacy_wiki)"
"NPC Happy New Year (Year of the Horse e.g. 2014, 2026)",1,"review","","legacy_wiki=1","Mirthful Ixion (legacy_wiki)"
"NPC Happy New Year (Year of the Horse e.g. 2026)",1,"review","","legacy_wiki=1","Gleeful Alicorn (legacy_wiki)"
"NPC Happy New Year 2007",1,"review","","legacy_wiki=1","Jeanparmand (legacy_wiki)"
"Nashmau Access",1,"review","","npc=1","Sajhra (npc)"
"Ninja Quest",1,"review","","npc=1","Ryoma (npc)"
"Ninja Unlock",1,"review","","npc=1","Ensetsu (npc)"
"Norg Leader",1,"review","","npc=1","Gilgamesh (npc)"
"Nyzul Isle Staging Point",1,"review","","item=1","Nyzul Isle Staging Point (item)"
"Nyzul Isle Staging Point NPC",1,"review","","legacy_wiki=1","Shahayl (legacy_wiki)"
"Nyzul Rewards",1,"review","","npc=1","Berangere (npc)"
"Odyssey Entry",1,"review","","item=1","Odyssean Passage (item)"
"Orc Follower",1,"review","","npc=1","Hedrov (npc)"
"Orc General",1,"review","","npc=1","One-eyed Gwajboj (npc)"
"Orc Warchief",1,"review","","npc=1","Kingslayer Doggvdegg (npc)"
"Paladin Unlock",1,"review","","npc=1","Cahaurme (npc)"
"Papal Chambers",1,"review","","item=1","Door:Papal Chambers (item)"
"Papsque",1,"review","","npc=1","Shamonde (npc)"
"Patriarch Protector",1,"review","","npc=1","Patriarch Protector Principal Nyumomo (npc)"
"Physician",1,"review","","npc=1","Monberaux (npc)"
"Pixie Recruiter",1,"review","","npc=1","Turbulent Storm (npc)"
"Planar Rift",1,"review","","item=1","Planar Rift (item)"
"Pop Item NPC",1,"review","","npc=1","Moblin Showman (npc)"
"Port Guard",1,"review","","npc=1","Raging Tiger (npc)"
"Potpourri Exchange",1,"review","","npc=1","Emporox (npc)"
"Prince",1,"review","","npc=1","Trion (npc)"
"Princess",1,"review","","npc=1","Claidie (npc)"
"Prison Guard",1,"review","","npc=1","Mandragora Warden (npc)"
"Proto-Waypoint",1,"review","","item=1","Proto-Waypoint (item)"
"Provides access to Nashmau",1,"review","","legacy_wiki=1","Sajhra (legacy_wiki)"
"Pulse Exchange",1,"review","","npc=1","Ardrick (npc)"
"Puppet NPC",1,"review","","npc=1","Petrino (npc)"
"Puppetmaster Crafting",1,"review","","npc=1","Dhima Polevhia (npc)"
"Puppetmaster Quest",1,"review","","npc=1","Ghatsad (npc)"
"Quest",1,"review","","legacy_wiki=1","Bopa Greso (A) (legacy_wiki)"
"Quest Boss",1,"review","","npc=1","Gambilox Wanderling (npc)"
"Quest Giver / Adventurer's Assistant NPC",1,"review","","legacy_wiki=1","Kuu Mohzolhi (legacy_wiki)"
"Quest Notorious Monster, Cutscene NPC",1,"review","","legacy_wiki=1","Gambilox Wanderling (legacy_wiki)"
"Quest Villain",1,"review","","npc=1","Garazu-Horeizu (npc)"
"REM Upgrades",1,"review","","npc=1","Oboro (npc)"
"Ranger",1,"review","","npc=1","Yow Rabntah (npc)"
"Recommendation Letter",1,"review","","npc=1","Randecque (npc)"
"Reive Trader",1,"review","","npc=1","Runje Desaali (npc)"
"Relic Upgrades",1,"review","","npc=1","Switchstix (npc)"
"Reliquary",1,"review","","item=1","Door:Reliquary (item)"
"Republican Army",1,"review","","npc=1","Derek Karst (npc)"
"Residence Renter NPC",1,"review","","legacy_wiki=1","Shinchai-Tocchai (legacy_wiki)"
"Residential Guard",1,"review","","npc=1","Chapa-Cha (npc)"
"Resistance Information",1,"review","","npc=1","Resistance Sergeant (npc)"
"Retrace Service",1,"review","","npc=1","Saphiriance, T.K. (npc)"
"Reward NPC",1,"review","","npc=1","Reja Ygridhi (npc)"
"Reward Retrieval",1,"review","","item=1","Mystic Retriever (item)"
"Room Renter NPC",1,"review","","legacy_wiki=1","Pulloie (legacy_wiki)"
"Royal Court",1,"review","","npc=1","Halver M Borel (npc)"
"Runic Portal",1,"review","","item=1","Runic Portal (item)"
"Runic Portal Guide",1,"review","","npc=1","Sharin-Garin (npc)"
"Sack",1,"review","","item=1","Sack (item)"
"Sacred Site Guard",1,"review","","npc=1","Musdahl (npc)"
"Samurai Unlock",1,"review","","npc=1","Kurando (npc)"
"Seagull Phratrie",1,"review","","npc=1","Excaliace (npc)"
"Seal Exchange",1,"review","","npc=1","Shemo (npc)"
"Shikaree",1,"review","","npc=1","Shikaree G (npc)"
"Shimmering Circle",1,"review","","item=1","Shimmering Circle (item)"
"Shipping Consortium",1,"review","","npc=1","Wilhelm (npc)"
"Shipping Industry",1,"review","","npc=1","Brugaire (npc)"
"Sigil NPC - Bastok National Campaign Guard",1,"review","","legacy_wiki=1","Millard, I.M. (legacy_wiki)"
"Sigil NPC - San d'Oria National Campaign Guard",1,"review","","legacy_wiki=1","Miliart, T.K. (legacy_wiki)"
"Sigil NPC - Windurst National Campaign Guard",1,"review","","legacy_wiki=1","Mindala-Andola, C.C. (legacy_wiki)"
"Signpost",1,"review","","item=1","Signpost (item)"
"Skirmish",1,"review","","npc=1","Lola (npc)"
"Skirmish Assembly",1,"review","","npc=1","Oston (npc)"
"Skirmish NPC",1,"review","","legacy_wiki=1","Lola (legacy_wiki)"
"Smithing Guild Master",1,"review","","npc=1","Mevreauche (npc)"
"Smithing Guild Master NPC",1,"review","","legacy_wiki=1","Mevreauche (legacy_wiki)"
"Smithing Support",1,"review","","npc=1","Ulycille (npc)"
"Soul Reflector Certification",1,"review","","npc=1","Kadjayhal (npc)"
"Soul Reflector Certification NPC",1,"review","","legacy_wiki=1","Kadjayhal (legacy_wiki)"
"Special Event Coordinator NPC",1,"review","","legacy_wiki=1","Farmaoquaix (legacy_wiki)"
"Squadron Leader",1,"review","","npc=1","Shailham (npc)"
"Strange Apparatus",1,"review","","item=1","Strange Apparatus (item)"
"Sturdy Pyxis",1,"review","","item=1","Sturdy Pyxis (item)"
"Summit Quest Starter",1,"review","","npc=1","Seer Soromai (npc)"
"Survey Information",1,"review","","npc=1","Chamulele (npc)"
"Survey Officer",1,"review","","npc=1","Rienne (npc)"
"Survival Guide",1,"review","","item=1","Survival Guide (item)"
"Synergy Furnace",1,"review","","item=1","Synergy Furnace (item)"
"Synergy Recipes",1,"review","","npc=1","Synergy Enthusiast (npc)"
"Synergy Support",1,"review","","npc=1","Synergy Engineer (npc)"
"Synergy Support & recipe review NPC",1,"review","","legacy_wiki=1","Synergy Engineer (legacy_wiki)"
"Synthesis Image Support NPC :*Clothcraft Guild",1,"review","","legacy_wiki=1","Nikkoko (legacy_wiki)"
"Synthesis Image Support NPC :*Weaver's Guild",1,"review","","legacy_wiki=1","Anillah (legacy_wiki)"
"Tarutaru NPC",1,"review","","legacy_wiki=1","Flasco-Rasco (legacy_wiki)"
"Tavern Staff",1,"review","","npc=1","Katharina (npc)"
"Teleport Crystal",1,"review","","npc=1","Quasilumin (npc)"
"Temple Guard",1,"review","","npc=1","Kabihyam (npc)"
"Test NPC",1,"review","","npc=1","Blank Card (npc)"
"Test Target",1,"review","","npc=1","Macro Test (npc)"
"Tonberry",1,"review","","npc=1","Lourdaude (npc)"
"Tonberry NPC",1,"review","","legacy_wiki=1","Lourdaude (legacy_wiki)"
"Town Crier",1,"review","","npc=1","Geosuke (npc)"
"Treasure Casket",1,"review","","item=1","Treasure Casket (item)"
"Treasure Chest",1,"review","","item=1","Treasure Chest (item)"
"Treasure Coffer",1,"review","","item=1","Treasure Coffer (item)"
"Tunnel Guard",1,"review","","npc=1","Lasthenes (npc)"
"Uncursing",1,"review","","npc=1","Alphollon C Meriard (npc)"
"Unity Concord Leader",1,"review","","legacy_wiki=1","Flaviria (legacy_wiki)"
"Unity Leader",1,"review","","npc=1","Flaviria (npc)"
"Upgrade NPC",1,"review","","npc=1","Mrohk Sahjuuli (npc)"
"Vagary Rewards",1,"review","","npc=1","A.M.A.N. Reclaimer (npc)"
"Vana'bout",1,"review","","npc=1","Coordinator Moogle (npc)"
"Veridical Conflux",1,"review","","item=1","Veridical Conflux (item)"
"Ward Guide",1,"review","","npc=1","Rujen-Gorgen (npc)"
"Waypoint",1,"review","","item=1","Waypoint (item)"
"Wildcat Commander",1,"review","","npc=1","Wildcat General Zhwan (npc)"
"Wildskeeper Entry Item Seller",1,"review","","legacy_wiki=1","Dimmian (legacy_wiki)"
"Windurst Waters map = North|H-9",1,"review","","legacy_wiki=1","Khuta Colaara (legacy_wiki)"
"Wold Transfer NPC",1,"review","","legacy_wiki=1","World Shifter (legacy_wiki)"
"Woodworking Guild Master",1,"review","","npc=1","Cheupirudaux (npc)"
"Woodworking Guild Master NPC",1,"review","","legacy_wiki=1","Cheupirudaux (legacy_wiki)"
"World Transfer",1,"review","","npc=1","World Shifter (npc)"
"Young Griffons",1,"review","","npc=1","Excenmille (S) (npc)"
"ZNM",1,"review","","npc=1","Sanraku (npc)"
"Zone Guard",1,"review","","npc=1","Zwinam (npc)"
"Quest Giver",382,"suggested","Quest NPC","legacy_wiki=88; npc=294","Gaweesh (npc); Eunheem (npc); Duberasson (npc); Tsetseroon (npc); Polly (A) (npc); Ohruru (npc)"
"Conquest Overseer",185,"suggested","Conquest NPC","legacy_wiki=64; npc=121","Ryunchi-Pauchi, W.W. (npc); Prunilla, R.K. (npc); Doladepaiton, R.K. (npc); Butsutsu, W.W. (npc); Rabid Wolf, I.M. (npc); Banege, R.K. (npc)"
"Dialogue NPC",163,"suggested","Other NPC","npc=163","Solgierte (npc); Rumbling Belly (npc); Himura (npc); Parcarin (npc); Matildie (npc); Stout Weir (npc)"
"Quest Giver NPC",138,"suggested","Quest NPC","legacy_wiki=137; npc=1","Balasiel (npc); Antreneau (legacy_wiki); Ohruru (legacy_wiki); Devean (legacy_wiki); Paytah (legacy_wiki); Amchuchu (legacy_wiki)"
"Adventurer's Assistant",101,"suggested","Information NPC","legacy_wiki=26; npc=75","Gournaie (npc); Diradour (npc); Eki Kamalabi (npc); Jack of Clubs (npc); Kaela (npc); Tico Karimakiba (npc)"
"Event NPC",77,"suggested","Seasonal Event NPC","legacy_wiki=42; npc=35","Lunar Rabbit (npc); Aspiring Adventurer (npc); Mandragora Assistant (npc); Event Moogle (npc); Celestia (npc); Moon Rabbit (npc)"
"Item Deliverer",68,"suggested","Delivery Box NPC","legacy_wiki=33; npc=35","Kasra (npc); Karlotte (npc); Mauriri (npc); Opococo (npc); Spasija (npc); Khonzon (npc)"
"Chocobo Renter",59,"suggested","Chocobo NPC","legacy_wiki=29; npc=30","Plaiaude (npc); Amimi (npc); Eulaphe (npc); Guinavie (npc); Mairee (npc); Pucotte (npc)"
"Campaign Battle NPC",49,"suggested","Campaign Battle NPCs","legacy_wiki=49","Patriarch Protector (legacy_wiki); Ariesian Caster (legacy_wiki); Thunder Fiend (legacy_wiki); Wildcat Vanguard (legacy_wiki); Scylla Brigade Healer (legacy_wiki); Ace of Coins (S) (legacy_wiki)"
"Adventurer's Assistant NPC",46,"suggested","Information NPC","legacy_wiki=46","Gournaie (legacy_wiki); Diradour (legacy_wiki); Eki Kamalabi (legacy_wiki); Luthiaque (legacy_wiki); Jack of Clubs (legacy_wiki); Tico Karimakiba (legacy_wiki)"
"Outpost Vendor",36,"suggested","Regional Vendor","legacy_wiki=18; npc=18","Pelogrant (npc); Bartabaq (npc); Harvetour (npc); Mahien-Uhien (npc); Kuleo (npc); Kasim (npc)"
"Auction House",32,"suggested","Auction House Rep.","item=1; npc=31","Atrevaux (npc); Eliot (npc); Wise Wolf (npc); Sojan-Tamjan (npc); Kouang (npc); Cavalgrinne (npc)"
"Traveling Bard",28,"suggested","Title NPC","legacy_wiki=14; npc=14","Willah Maratahya (npc); Koyol-Futenol (npc); Shupah Mujuuk (npc); Bhio Fehriata (npc); Eron-Tomaron (npc); Tamba-Namba (npc)"
"Armor Depository",26,"suggested","Armor Vendor","legacy_wiki=13; npc=13","Pihra Rhebenslo (npc); Tesch Garanjy (npc); Ratonne (npc); Perevie (npc); Hajawaa (npc); Sinon (npc)"
